ProjectCode	ProjectName	PrimarySite	Country	Donors	SSM	CNSM	STSM	SGV	METH-A	METH-S	EXP-A	EXP-S	PEXP	miRNA-S	JCN
MALY-DE	Malignant Lymphoma - DE	Blood	Germany	53	44	0	26	0	0	0	0	52	0	52	0
BOCA-FR	Soft Tissue cancer - Ewing sarcoma - FR	Bone	France	98	98	97	97	0	0	0	0	0	0	0	0
ESCA-CN	Esophageal Cancer - CN	Esophagus	China	88	88	0	0	0	0	0	0	0	0	0	0
RECA-EU	Renal Cell Cancer - EU/FR	Kidney	"European Union, France"	122	95	0	0	0	0	0	0	91	0	0	0
LIAD-FR	Benign Liver Tumour - FR	Liver	France	30	30	0	0	0	0	0	0	0	0	0	0
LICA-FR	Liver Cancer - FR	Liver	France	273	234	158	0	0	0	0	0	0	0	0	0
LIHM-FR	Liver Cancer - Hepatocellular macronodules	Liver	France	4	4	1	0	0	0	0	0	0	0	0	0
EOPC-DE	Early Onset Prostate Cancer - DE	Prostate	Germany	11	11	11	11	0	0	0	0	0	0	0	0
BLCA-CN	Bladder Cancer - CN	Bladder	China	103	103	0	0	0	0	0	0	0	0	0	0
CLLE-ES	Chronic Lymphocyclic Leukemia - ES	Blood	Spain	309	109	4	0	0	159	3	267	101	0	0	0
PBCA-DE	Pediatric Brain Cancer - DE	Brain	Germany	301	248	4	4	0	115	42	0	0	0	0	0
COCA-CN	Colorectal Cancer - CN	Colorectal	China	49	49	47	0	0	0	0	0	0	0	0	0
ORCA-IN	Oral Cancer - IN	Head and neck	India	106	106	0	0	0	0	0	0	0	0	0	0
LUSC-CN	Lung Cancer - CN	Lung	China	10	10	0	0	0	0	0	0	0	0	0	0
PACA-CA	Pancreatic Cancer - CA	Pancreas	Canada	248	199	88	0	197	0	0	0	46	0	0	43
PACA-IT	Pancreatic Cancer - IT	Pancreas	Italy	37	37	35	37	0	0	0	0	0	0	0	0
GACA-CN	Gastric Cancer - CN	Stomach	China	9	9	0	0	0	0	0	0	0	0	0	0
BEAT-AML	Beat AML	Blood	USA
EGAD00001000263 ICGC - EGAD00001000263	Prostate	USA
EGAD00001000892 ICGC - EGAD00001000892	Liver	USA
EGAD00001000842 ICGC - EGAD00001000842	Liver	USA
1000Genomes 1000Genomes
