portion_id	analyte_id	bcr_analyte_uuid	subportion_sequence	gel_image_file	well_number	analyte_type	is_derived_from_ffpe	bcr_analyte_barcode	amount	a260_a280_ratio	concentration	spectrophotometer_method	analyte_type_id
TCGA-EJ-7115-11A-01	TCGA-EJ-7115-11A-01D	97c8a6d3-0223-4b9c-820d-41a14ac57b6f		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-EJ-7115-11A-01D	192.6		0.15	PicoGreen	D
TCGA-J4-A67R-10A-01	TCGA-J4-A67R-10A-01D	085DA44A-E80D-4E87-A8D7-FA4FFCDF329C		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-J4-A67R-10A-01D	48.29		0.15	PicoGreen	D
TCGA-EJ-7115-11A-01	TCGA-EJ-7115-11A-01R	a689fb32-a9e6-48ae-9e86-fde20a2ab3fb		https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-EJ-7115-11A-01R	76.2		0.16	UV Spec	R
TCGA-CH-5737-10A-01	TCGA-CH-5737-10A-01W	b90f63ab-a99d-4f27-8b35-5c03ab55cef4		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-CH-5737-10A-01W	194		0.5	UV Spec	W
TCGA-EJ-7115-11A-01	TCGA-EJ-7115-11A-01W	f8a229e7-e7a1-4606-8b22-8077cbb8a78d		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-7115-11A-01W	165		0.5	PicoGreen	W
TCGA-J4-A67R-10A-01	TCGA-J4-A67R-10A-01W	4428EBD2-B776-43E7-8452-6DA3AA0FC20B		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-J4-A67R-10A-01W					W
TCGA-V1-A8MU-01A-11	TCGA-V1-A8MU-01A-11D	D930EBDF-7E6D-4D4F-B345-83B7794FB8E0	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-V1-A8MU-01A-11D	23.98		0.15	PicoGreen	D
TCGA-KK-A8I9-11A-11	TCGA-KK-A8I9-11A-11D	476F5DEB-1B3F-4A35-8A31-F27763BA8D8A		https://sharedoc.nchri.org/tcga-bcr/default.aspx		DNA	NO	TCGA-KK-A8I9-11A-11D	13.12		0.14	PicoGreen	D
TCGA-EJ-7791-10A-01	TCGA-EJ-7791-10A-01W	eedcc927-210e-4dc7-8b6c-5c4bc41c1ede		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-EJ-7791-10A-01W	155		0.5	PicoGreen	W
TCGA-J4-A67Q-01A-21	TCGA-J4-A67Q-01A-21W	D73DB9C7-8369-4CCD-A8A6-124AAF6A562D	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-J4-A67Q-01A-21W					W
TCGA-KK-A8I9-11A-11	TCGA-KK-A8I9-11A-11W	C284F2AF-1E9B-40CC-8936-B61CFD251D62		https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-KK-A8I9-11A-11W					W
TCGA-V1-A8MU-01A-11	TCGA-V1-A8MU-01A-11W	CF37D065-A9E3-4329-89E8-728A654E6411	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		Repli-G (Qiagen) DNA	NO	TCGA-V1-A8MU-01A-11W					W
TCGA-V1-A8MU-01A-11	TCGA-V1-A8MU-01A-11R	1E2954A6-04CE-4DF4-B10A-EEB8F1438292	1	https://sharedoc.nchri.org/tcga-bcr/default.aspx		RNA	NO	TCGA-V1-A8MU-01A-11R	31.91	1.91	0.18	UV Spec	R
