sample_id	portion_id	month_of_creation	is_ffpe	weight	year_of_creation	LCE	bcr_portion_barcode	bcr_portion_uuid	portion_sequence	day_of_creation	portion_number
TCGA-CH-5761-01A	TCGA-CH-5761-01A-11	1	NO	33	2011		TCGA-CH-5761-01A-11	d2beec1c-ed31-425c-9620-a6e706302341		13	11
TCGA-KK-A7AP-01A	TCGA-KK-A7AP-01A-12	8	NO	30	2013		TCGA-KK-A7AP-01A-12	7866CD5F-85B1-4C5F-841D-FD400FF8A739	1	27	12
TCGA-EJ-5516-01A	TCGA-EJ-5516-01A-01	12	NO	39	2010		TCGA-EJ-5516-01A-01	7e7862e6-2ab9-4f32-831f-cb35bf747428		2	1
TCGA-2A-A8VO-10A	TCGA-2A-A8VO-10A-01	12	NO		2013		TCGA-2A-A8VO-10A-01	F14E7458-965B-49AF-A7E6-E83353559A55		6	1
TCGA-CH-5740-01A	TCGA-CH-5740-01A-11	1	NO	30	2011		TCGA-CH-5740-01A-11	c1511730-c881-4cc4-915c-0226e6349805		13	11
TCGA-G9-7525-01A	TCGA-G9-7525-01A-31	11	NO	31	2011		TCGA-G9-7525-01A-31	a05568f1-9005-4938-a00c-17b15f657612		14	31
TCGA-G9-6363-11A	TCGA-G9-6363-11A-01	3	NO	26	2011		TCGA-G9-6363-11A-01	30ca9540-09f7-4ed2-93d7-381526e3fe8c		18	1
TCGA-KK-A7B2-01A	TCGA-KK-A7B2-01A-12	8	NO	30	2013		TCGA-KK-A7B2-01A-12	AB77D27B-5D3D-46D7-9B19-30AEF7FC34D0	1	26	12
TCGA-G9-6494-10A	TCGA-G9-6494-10A-01	3	NO		2011		TCGA-G9-6494-10A-01	e12307b2-94e4-46bc-b663-e3946388f7d2		23	1
TCGA-J4-A83K-01A	TCGA-J4-A83K-01A-11	10	NO	30	2013		TCGA-J4-A83K-01A-11	C7CB9CCB-9511-41E6-AC90-1A73F94233D1	1	31	11
TCGA-EJ-7315-10A	TCGA-EJ-7315-10A-01	11	NO		2011		TCGA-EJ-7315-10A-01	4819a00c-ac82-4846-9f2e-a2b4e4dd1f79		15	1
TCGA-G9-6364-01A	TCGA-G9-6364-01A-21	3	NO	35	2011		TCGA-G9-6364-01A-21	d6b81f7c-9f0d-48a3-be13-fd42390658c3		18	21
TCGA-V1-A9Z7-01A	TCGA-V1-A9Z7-01A-11	3	NO	30	2014		TCGA-V1-A9Z7-01A-11	6C105BDB-41E2-455A-833D-D996AA492A83		31	11
TCGA-EJ-A7NK-01A	TCGA-EJ-A7NK-01A-12	9	NO	30	2013		TCGA-EJ-A7NK-01A-12	B37B773B-E890-44D7-8F51-3BD48962653E	1	16	12
TCGA-KK-A7B1-01A	TCGA-KK-A7B1-01A-11	8	NO	30	2013		TCGA-KK-A7B1-01A-11	B6266795-9041-4799-9819-80F3B5A777FA	1	26	11
TCGA-EJ-7330-11A	TCGA-EJ-7330-11A-01	9	NO	65	2011		TCGA-EJ-7330-11A-01	6b61e485-93ce-4269-822f-6b9c35e16544		15	1
TCGA-ZG-A9LY-01A	TCGA-ZG-A9LY-01A-11	3	NO	30	2014		TCGA-ZG-A9LY-01A-11	B42BDB23-4D24-48FF-BBB2-C71729CC2AE3		11	11
TCGA-G9-6371-01A	TCGA-G9-6371-01A-11	3	NO	30	2011		TCGA-G9-6371-01A-11	d035a7ba-bc98-457f-96c5-f18ef7530e6f		18	11
TCGA-EJ-5494-01A	TCGA-EJ-5494-01A-01	12	NO	38	2010		TCGA-EJ-5494-01A-01	01e29816-5d99-4420-9caf-6fa56fb22809		2	1
TCGA-HC-7210-01A	TCGA-HC-7210-01A-11	8	NO	28	2011		TCGA-HC-7210-01A-11	2f6a685b-beca-466a-976b-2ef39e5fbab1		12	11
TCGA-EJ-7328-10A	TCGA-EJ-7328-10A-01	11	NO		2011		TCGA-EJ-7328-10A-01	2a675252-7c85-4dc9-9569-bde93b6a6ad1		15	1
TCGA-V1-A9Z7-10A	TCGA-V1-A9Z7-10A-01	4	NO	2	2014		TCGA-V1-A9Z7-10A-01	480C0F0E-0D1D-4239-882F-F2B59F2BC201		1	1
TCGA-2A-AAYO-10A	TCGA-2A-AAYO-10A-01	2	NO		2014		TCGA-2A-AAYO-10A-01	06BA682D-1A2E-4CFB-89FF-B14E30D99728		19	1
TCGA-H9-A6BX-10A	TCGA-H9-A6BX-10A-01	5	NO	2	2013		TCGA-H9-A6BX-10A-01	B62DF4C5-D56C-4929-91B1-A2696FCF09BD	1	24	1
TCGA-YL-A8HK-01A	TCGA-YL-A8HK-01A-11	11	NO	30	2013		TCGA-YL-A8HK-01A-11	138317CB-EC48-476F-BF3F-A3E36CA80508	1	19	11
TCGA-KK-A6E8-01A	TCGA-KK-A6E8-01A-11	6	NO	30	2013		TCGA-KK-A6E8-01A-11	DA7E8AEC-AC36-46CF-91E3-DA8BDBF0D54A	1	7	11
TCGA-HC-7752-11A	TCGA-HC-7752-11A-01	11	NO	59	2011		TCGA-HC-7752-11A-01	4d6ffbbd-8dd2-48a8-85ed-35b017c0027a		10	1
TCGA-HC-7232-01A	TCGA-HC-7232-01A-11	8	NO	31	2011		TCGA-HC-7232-01A-11	26756241-f273-4571-8688-a2db40187d8b		29	11
TCGA-EJ-A65E-01A	TCGA-EJ-A65E-01A-11	4	NO	30	2013		TCGA-EJ-A65E-01A-11	4D87562D-07A6-467C-B278-CC584C6E373B	1	19	11
TCGA-EJ-7794-11A	TCGA-EJ-7794-11A-01	11	NO	56	2011		TCGA-EJ-7794-11A-01	7059fd3a-7662-485b-9fb2-d5f3713307b1		17	1
TCGA-HC-7745-10A	TCGA-HC-7745-10A-01	11	NO		2011		TCGA-HC-7745-10A-01	561cb4b8-f46f-4285-912b-eae775e5b70d		22	1
TCGA-V1-A9ZI-10A	TCGA-V1-A9ZI-10A-01	4	NO	2	2014		TCGA-V1-A9ZI-10A-01	69A8FB1F-4D82-4254-B503-DBB040AEC576		1	1
TCGA-G9-6342-01A	TCGA-G9-6342-01A-11	3	NO	28	2011		TCGA-G9-6342-01A-11	22e98ec0-4db5-4b20-a8e2-d0b15217011b		18	11
TCGA-EJ-5515-10A	TCGA-EJ-5515-10A-01	12	NO		2010		TCGA-EJ-5515-10A-01	a00d2a67-ca3b-4a20-a02c-13ed0ab530a5		21	1
TCGA-G9-6333-11A	TCGA-G9-6333-11A-01	3	NO	36	2011		TCGA-G9-6333-11A-01	1efdfef9-a596-48f5-b534-5a92e5638acc		18	1
TCGA-EJ-5532-10A	TCGA-EJ-5532-10A-01	12	NO		2010		TCGA-EJ-5532-10A-01	a7ecbfa2-bd5b-4f51-ac78-d32caa8bd39b		21	1
TCGA-M7-A71Z-01A	TCGA-M7-A71Z-01A-12	8	NO	30	2013		TCGA-M7-A71Z-01A-12	5AC32707-2132-4108-8AC2-893D40C35D5E	1	8	12
TCGA-HI-7168-01A	TCGA-HI-7168-01A-11	8	NO	38	2011		TCGA-HI-7168-01A-11	e1dedae3-48bd-4d6a-b79d-05751fc3921a		3	11
TCGA-KK-A7AU-01A	TCGA-KK-A7AU-01A-11	8	NO	30	2013		TCGA-KK-A7AU-01A-11	7B402EFB-F6F2-4C80-8511-6E8D2F3C3806	1	26	11
TCGA-V1-A8MU-10A	TCGA-V1-A8MU-10A-01	1	NO	2	2014		TCGA-V1-A8MU-10A-01	6B8CB085-F26F-4ADB-90A7-50C6224D8EA8		7	1
TCGA-YL-A8SO-10A	TCGA-YL-A8SO-10A-01	12	NO		2013		TCGA-YL-A8SO-10A-01	8A15B30B-B00B-4D91-8FA6-79F371454EE7		3	1
TCGA-X4-A8KQ-01A	TCGA-X4-A8KQ-01A-12	12	NO	30	2013		TCGA-X4-A8KQ-01A-12	B0188E4D-8B38-4BA8-82C4-1740664B4530	1	2	12
TCGA-XA-A8JR-10A	TCGA-XA-A8JR-10A-01	12	NO	2	2013		TCGA-XA-A8JR-10A-01	B9A9DE13-4011-4605-90A0-233693863D0D		30	1
TCGA-YL-A9WY-01A	TCGA-YL-A9WY-01A-11	1	NO	30	2014		TCGA-YL-A9WY-01A-11	3B2FBD3D-86EC-4530-A31E-1BA19148C67A		23	11
TCGA-EJ-7325-01B	TCGA-EJ-7325-01B-11	7	NO	30	2013		TCGA-EJ-7325-01B-11	E87D745B-7DBE-4C22-BFA9-DFE4CCF92C60	1	16	11
TCGA-HC-7750-01A	TCGA-HC-7750-01A-11	11	NO	16	2011		TCGA-HC-7750-01A-11	7f2a6686-11fd-4e80-82ba-ef366342d008		10	11
TCGA-G9-6370-10A	TCGA-G9-6370-10A-01	3	NO		2011		TCGA-G9-6370-10A-01	0462afe0-c4fa-4bac-983a-66fd9dd8b7c8		11	1
TCGA-YL-A9WL-01A	TCGA-YL-A9WL-01A-11	1	NO	30	2014		TCGA-YL-A9WL-01A-11	4258A9A7-613E-43F5-A950-5FB032325895		21	11
TCGA-G9-6367-01A	TCGA-G9-6367-01A-11	3	NO	30	2011		TCGA-G9-6367-01A-11	46885513-fcfe-4c1d-8ca8-22ec4ad892a3		18	11
TCGA-XJ-A83G-01A	TCGA-XJ-A83G-01A-11	10	NO	30	2013		TCGA-XJ-A83G-01A-11	5411E820-3C46-4E05-B4A6-469582F43B1C	1	28	11
TCGA-KK-A6E6-01A	TCGA-KK-A6E6-01A-11	5	NO	30	2013		TCGA-KK-A6E6-01A-11	8E676B80-1F3B-4126-8F22-6305FE676AB6	1	23	11
TCGA-VN-A88O-10A	TCGA-VN-A88O-10A-01	11	NO	2	2013		TCGA-VN-A88O-10A-01	CF12E193-2BB8-471F-A65F-09D80C461B16	1	18	1
