analyte_id	aliquot_id	month_of_shipment	plate_id	biospecimen_barcode_bottom	center_id	plate_column	is_derived_from_ffpe	volume	amount	plate_row	day_of_shipment	year_of_shipment	bcr_aliquot_uuid	source_center	concentration	quantity	material_type	protocol_type	protocol_description
TCGA-VN-A88R-01A-11D	TCGA-VN-A88R-01A-11D-A363-01	1	A363	164081702	1	10	NO	6.7		E	29	2014	A7805DFE-86CF-4190-9B2B-74B5E5EA0F8B	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-A65B-01A-12D	TCGA-EJ-A65B-01A-12D-A30E-08	6	A30E	132267256	8	8	NO	40		A	12	2013	CF03C931-271D-477F-BA45-74D7D52AE213	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5509-10A-01D	TCGA-EJ-5509-10A-01D-1575-01	2	1575	1049967444	1	2	NO	6.67		H	23	2011	0f212200-f670-4010-9e1f-124c6f463dad	22	0.15	1	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KC-A7F6-01A-11D	TCGA-KC-A7F6-01A-11D-A33T-08	10	A33T	160355201	8	7	NO	40		C	30	2013	B2DE10B8-8E9D-4CF0-BC63-B624DF4ECA9D	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-WW-A8ZI-10A-01W	TCGA-WW-A8ZI-10A-01W-A44K-08	7	A44K	167802740	8	4	NO	80		G	8	2014	C898DB5B-6AE5-4F1A-BD83-A266151D2172	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7209-10A-01D	TCGA-HC-7209-10A-01D-2113-01	1	2113	120998016	1	1	NO	6.67		H	4	2012	ab32d785-07ab-408f-b5c7-28e9c3c9e9dd	22	0.14	0.93	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A8II-11A-11D	TCGA-KK-A8II-11A-11D-A362-08	1	A362	164080503	8	9	NO	40		A	29	2014	FF736958-09D1-4CB7-9FA5-5955BDE500FF	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-V1-A8ML-01A-11R	TCGA-V1-A8ML-01A-11R-A37L-07	2	A37L	164104677	7	3	NO	13		C	26	2014	4866C074-094A-4432-8D23-825FD698EEDA	23	0.15	1.95	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-XK-AAK1-10A-01D	TCGA-XK-AAK1-10A-01D-A41M-01	5	A41M	174186281	1	7	NO	6.7		E	28	2014	F2B1A637-4470-4A3A-95E4-96F01D98C291	23	0.17	1.14	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-6329-01A-13W	TCGA-G9-6329-01A-13W-1999-08	9	1999	1053968419	8	1	NO	80		D	19	2011	979bc187-f22e-4bd9-a1a9-17110be8175f	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5746-01A-11R	TCGA-CH-5746-01A-11R-1580-07	2	1580	1049968790	7	2	NO	26.7		A	23	2011	e129e211-8237-4842-a5f5-c3dc05607527	22	0.15	4.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-X4-A8KS-10A-01D	TCGA-X4-A8KS-10A-01D-A361-01	1	A361	164082830	1	10	NO	6.7		G	29	2014	77AFAB1C-1568-4500-984C-576C6CA30D6B	23	0.15	1.01	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VP-A87H-01A-11D	TCGA-VP-A87H-01A-11D-A34V-05	12	A34V	160341590	5	10	NO	13		A	18	2013	853B5344-49A4-46F7-9B60-D0992EC5522F	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-7783-01A-11D	TCGA-EJ-7783-01A-11D-2114-08	1	2114	120997318	8	2	NO	60		C	4	2012	9221a776-a241-48a2-b486-98902a8628f8	22	0.05	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A8IC-11A-12D	TCGA-KK-A8IC-11A-12D-A362-08	1	A362	164080480	8	8	NO	40		C	29	2014	9A7279B2-607D-41B8-BEE0-226B1AE34C08	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A6HY-01A-11R	TCGA-HC-A6HY-01A-11R-A31R-13	7	A31R	150756759	13	9	NO	20		A	24	2013	F4B5B58B-D2AE-4AE7-9A21-1085016D4514	23	0.16	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-A76X-01A-11R	TCGA-HC-A76X-01A-11R-A33R-07	10	A33R	160355424	7	1	NO	13		H	30	2013	99DD7197-D956-4E4F-AEE1-E0362EEF2E20	23	0.17	2.21	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KC-A4BV-10A-01W	TCGA-KC-A4BV-10A-01W-A30O-08	6	A30O	150704794	8	11	NO	80		D	12	2013	208DC81B-816C-4009-B25F-07FD671EEE11	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-J4-A83I-10B-01W	TCGA-J4-A83I-10B-01W-A446-08	7	A446	167803602	8	6	NO	80		G	8	2014	7FEFDD4A-AD6D-4AF2-916F-010B0427FFF8	23	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-KK-A7AW-01A-11D	TCGA-KK-A7AW-01A-11D-A32B-08	9	A32B	153886304	8	9	NO	40		F	25	2013	8A20984A-DEA3-4ED4-A100-2B1D193EB825	23	0.08	3.2	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-G9-7522-01A-11W	TCGA-G9-7522-01A-11W-2288-08	5	2288	128286922	8	2	NO	80		A	23	2012	11a08ae1-96b4-46aa-8d64-0ed21f83693c	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-HC-7209-10A-01W	TCGA-HC-7209-10A-01W-2162-08	1	2162	120991413	8	3	NO	80		G	30	2012	2b178b57-b9d3-4b1e-be5f-e6173c932ff4	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-VP-A87B-10A-01D	TCGA-VP-A87B-10A-01D-A34W-01	1	A34W	160338061	1	9	NO	6.7		D	6	2014	FF9F3B0A-0F1E-4155-B55B-6B8145A5AD43	23	0.14	0.94	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-CH-5769-11A-01R	TCGA-CH-5769-11A-01R-1579-13	2	1579	1049967869	13	9	NO	20		D	23	2011	979ad2b7-b1c5-4a1f-9838-e908011ea2f6	22	0.15	3	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-EJ-5524-10A-01W	TCGA-EJ-5524-10A-01W-1611-08	3	1611	1052626073	8	6	NO	80		F	21	2011	cc0ac4d5-9040-4ea5-be74-533c6681ceb4	22	0.5	40	Total RNA	Library Preparation	Illumina TruSeq Kit
TCGA-XQ-A8TA-01A-11D	TCGA-XQ-A8TA-01A-11D-A365-05	1	A365	164083378	5	11	NO	13		B	29	2014	C0502CA1-D3B2-4824-B566-6D23094C50A8	23	0.15	1.95	Total RNA	Library Preparation	Illumina TruSeq Kit
