aliquot_id	file_id	protocol_ref	protocol_component_versions	parent_alignment_ref	gene_annotation_ref	data_transformation_name	derived_data_file	tcga_data_type	tcga_data_level	tcga_archive_name
TCGA-2A-A8VL-01A-21R-A37L-07	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457718.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5 gene_expression	unc.edu.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.2462231.rsem.isoforms.results	RSEM_isoforms	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VL-01A-21R-A37L-07	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457718.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5 gene_expression	unc.edu.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.2462230.rsem.genes.results	RSEM_genes	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VL-01A-21R-A37L-07	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457718.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5 gene_expression	unc.edu.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.2462397.bt.exon_quantification.txt	exon_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VL-01A-21R-A37L-07	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457718.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5 gene_expression	unc.edu.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.2457737.junction_quantification.txt	junction_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VL-01A-21R-A37L-07	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457718.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5 gene_expression	unc.edu.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.2462259.rsem.genes.normalized_results	RSEM_genes_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VL-01A-21R-A37L-07	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457718.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5 gene_expression	unc.edu.e10fe58f-7ceb-4ad8-bce3-5ffbefc05cb5.2462260.rsem.isoforms.normalized_results	RSEM_isoforms_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VO-01A-11R-A37L-07	20a779a3-04ab-4080-b11d-ed7b22fcd2da	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457818.20a779a3-04ab-4080-b11d-ed7b22fcd2da.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	20a779a3-04ab-4080-b11d-ed7b22fcd2da gene_expression	unc.edu.20a779a3-04ab-4080-b11d-ed7b22fcd2da.2462160.rsem.isoforms.results	RSEM_isoforms	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VO-01A-11R-A37L-07	20a779a3-04ab-4080-b11d-ed7b22fcd2da	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457818.20a779a3-04ab-4080-b11d-ed7b22fcd2da.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	20a779a3-04ab-4080-b11d-ed7b22fcd2da gene_expression	unc.edu.20a779a3-04ab-4080-b11d-ed7b22fcd2da.2462159.rsem.genes.results	RSEM_genes	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VO-01A-11R-A37L-07	20a779a3-04ab-4080-b11d-ed7b22fcd2da	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457818.20a779a3-04ab-4080-b11d-ed7b22fcd2da.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	20a779a3-04ab-4080-b11d-ed7b22fcd2da gene_expression	unc.edu.20a779a3-04ab-4080-b11d-ed7b22fcd2da.2462388.bt.exon_quantification.txt	exon_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VO-01A-11R-A37L-07	20a779a3-04ab-4080-b11d-ed7b22fcd2da	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457818.20a779a3-04ab-4080-b11d-ed7b22fcd2da.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	20a779a3-04ab-4080-b11d-ed7b22fcd2da gene_expression	unc.edu.20a779a3-04ab-4080-b11d-ed7b22fcd2da.2457859.junction_quantification.txt	junction_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VO-01A-11R-A37L-07	20a779a3-04ab-4080-b11d-ed7b22fcd2da	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457818.20a779a3-04ab-4080-b11d-ed7b22fcd2da.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	20a779a3-04ab-4080-b11d-ed7b22fcd2da gene_expression	unc.edu.20a779a3-04ab-4080-b11d-ed7b22fcd2da.2462178.rsem.genes.normalized_results	RSEM_genes_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VO-01A-11R-A37L-07	20a779a3-04ab-4080-b11d-ed7b22fcd2da	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2457818.20a779a3-04ab-4080-b11d-ed7b22fcd2da.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	20a779a3-04ab-4080-b11d-ed7b22fcd2da gene_expression	unc.edu.20a779a3-04ab-4080-b11d-ed7b22fcd2da.2462179.rsem.isoforms.normalized_results	RSEM_isoforms_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VT-01A-11R-A37L-07	2e80aebe-77b5-496c-bde9-494b9b94ee3f	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2461941.2e80aebe-77b5-496c-bde9-494b9b94ee3f.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	2e80aebe-77b5-496c-bde9-494b9b94ee3f gene_expression	unc.edu.2e80aebe-77b5-496c-bde9-494b9b94ee3f.2462613.rsem.isoforms.results	RSEM_isoforms	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VT-01A-11R-A37L-07	2e80aebe-77b5-496c-bde9-494b9b94ee3f	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2461941.2e80aebe-77b5-496c-bde9-494b9b94ee3f.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	2e80aebe-77b5-496c-bde9-494b9b94ee3f gene_expression	unc.edu.2e80aebe-77b5-496c-bde9-494b9b94ee3f.2462612.rsem.genes.results	RSEM_genes	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VT-01A-11R-A37L-07	2e80aebe-77b5-496c-bde9-494b9b94ee3f	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2461941.2e80aebe-77b5-496c-bde9-494b9b94ee3f.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	2e80aebe-77b5-496c-bde9-494b9b94ee3f gene_expression	unc.edu.2e80aebe-77b5-496c-bde9-494b9b94ee3f.2462640.bt.exon_quantification.txt	exon_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VT-01A-11R-A37L-07	2e80aebe-77b5-496c-bde9-494b9b94ee3f	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2461941.2e80aebe-77b5-496c-bde9-494b9b94ee3f.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	2e80aebe-77b5-496c-bde9-494b9b94ee3f gene_expression	unc.edu.2e80aebe-77b5-496c-bde9-494b9b94ee3f.2461970.junction_quantification.txt	junction_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VT-01A-11R-A37L-07	2e80aebe-77b5-496c-bde9-494b9b94ee3f	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2461941.2e80aebe-77b5-496c-bde9-494b9b94ee3f.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	2e80aebe-77b5-496c-bde9-494b9b94ee3f gene_expression	unc.edu.2e80aebe-77b5-496c-bde9-494b9b94ee3f.2462623.rsem.genes.normalized_results	RSEM_genes_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VT-01A-11R-A37L-07	2e80aebe-77b5-496c-bde9-494b9b94ee3f	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2461941.2e80aebe-77b5-496c-bde9-494b9b94ee3f.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	2e80aebe-77b5-496c-bde9-494b9b94ee3f gene_expression	unc.edu.2e80aebe-77b5-496c-bde9-494b9b94ee3f.2462626.rsem.isoforms.normalized_results	RSEM_isoforms_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VV-01A-11R-A37L-07	45eca81f-9ce2-4de6-b970-65959d76398c	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2472324.45eca81f-9ce2-4de6-b970-65959d76398c.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	45eca81f-9ce2-4de6-b970-65959d76398c gene_expression	unc.edu.45eca81f-9ce2-4de6-b970-65959d76398c.2477673.rsem.isoforms.results	RSEM_isoforms	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VV-01A-11R-A37L-07	45eca81f-9ce2-4de6-b970-65959d76398c	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2472324.45eca81f-9ce2-4de6-b970-65959d76398c.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	45eca81f-9ce2-4de6-b970-65959d76398c gene_expression	unc.edu.45eca81f-9ce2-4de6-b970-65959d76398c.2477672.rsem.genes.results	RSEM_genes	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VV-01A-11R-A37L-07	45eca81f-9ce2-4de6-b970-65959d76398c	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2472324.45eca81f-9ce2-4de6-b970-65959d76398c.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	45eca81f-9ce2-4de6-b970-65959d76398c gene_expression	unc.edu.45eca81f-9ce2-4de6-b970-65959d76398c.2479785.bt.exon_quantification.txt	exon_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VV-01A-11R-A37L-07	45eca81f-9ce2-4de6-b970-65959d76398c	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2472324.45eca81f-9ce2-4de6-b970-65959d76398c.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	45eca81f-9ce2-4de6-b970-65959d76398c gene_expression	unc.edu.45eca81f-9ce2-4de6-b970-65959d76398c.2473188.junction_quantification.txt	junction_quantification	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VV-01A-11R-A37L-07	45eca81f-9ce2-4de6-b970-65959d76398c	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2472324.45eca81f-9ce2-4de6-b970-65959d76398c.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	45eca81f-9ce2-4de6-b970-65959d76398c gene_expression	unc.edu.45eca81f-9ce2-4de6-b970-65959d76398c.2477709.rsem.genes.normalized_results	RSEM_genes_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
TCGA-2A-A8VV-01A-11R-A37L-07	45eca81f-9ce2-4de6-b970-65959d76398c	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2	SeqWareVersion=0.7.0;MapSpliceRSEM=0.7.5	UNCID_2472324.45eca81f-9ce2-4de6-b970-65959d76398c.sorted_genome_alignments.bam	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	45eca81f-9ce2-4de6-b970-65959d76398c gene_expression	unc.edu.45eca81f-9ce2-4de6-b970-65959d76398c.2477717.rsem.isoforms.normalized_results	RSEM_isoforms_normalized	Level 3	unc.edu_PRAD.IlluminaHiSeq_RNASeqV2.Level_3.1.14.0
